participant_id,condition,theta_pre,theta_post,delta_theta,se_pre,se_post,eta_pre,eta_post,eta_consistency_pre,eta_consistency_post,manipulation_check
2600fc5f6be6,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
936d80a8593a,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,1
90f9bcf2af99,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,3
3eda111a471c,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
85deb9923a5b,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,3
a1c91eea3c18,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,2
a68f7fed8a88,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1
4ac05f3f014b,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2
03c4bb1b8621,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
0cb7da1bc4ac,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
afae4ba1988f,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
4da544486a5f,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,3
2a49140e5dce,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,2
5069fd7c460e,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,3
afc27d176b0f,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,3
49004b87fdf8,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,3
97ffed9a0385,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,2
97fe8cff856b,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3
2975444e8800,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,3
59fa0a6c344f,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2
6e704c72803f,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,2
e6425314e8aa,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2
878eddcb1ffc,control,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5316066610999034,0.3333333333333333,1.0,0.0,0.0,3
7349c75ed659,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,2
581aeb8c31aa,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,3
b1f732309e91,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
149c95e6f460,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,3
99a705ac3d3b,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2
95c7941f2d14,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,3
0f4dddf0c438,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,2
2c5282b9814d,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1
dacfe6bf357c,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,1
006bf3c0da0b,control,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
d675d8a819d0,control,0.8410686705679302,0.0,-0.8410686705679302,0.5254355253366042,0.0,1.0,0.6666666666666667,0.0,0.0,2
84729d7b2895,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,2
4a5982354ed8,control,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,3
d68c745dade1,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,1
6c536e22b7e9,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,2
50ded16ba33f,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,2
977a7be46a1c,control,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1d0475b11768,control,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,3
c2cfab8d831e,control,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2
f4ab467a1042,weak,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,5
